project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::J483,operational,2024-09-26,day,2025-12-31,,Berkeley,high
P::B::J484,operational,2019-07-01,day,,,Berkeley,high
P::B::J485,operational,2018-03-20,day,2025-12-31,,Berkeley,high
P::B::J486,operational,2000-09-19,day,,,Berkeley,high
P::B::J487,withdrawn,2016-09-01,day,,2020-12-31,Berkeley,high
P::B::J488,operational,2020-06-15,day,,,Berkeley,high
P::B::J489,withdrawn,2018-03-26,day,,2020-12-31,Berkeley,high
P::B::J490,withdrawn,2017-09-01,day,,2020-12-31,Berkeley,high
P::B::J491,withdrawn,2017-06-19,day,,2020-12-31,Berkeley,high
P::B::J492,withdrawn,2017-06-19,day,,2020-12-31,Berkeley,high
P::B::J493,operational,2020-04-30,day,,,Berkeley,high
P::B::J494,withdrawn,2017-03-01,day,,2020-12-31,Berkeley,high
P::B::J495,operational,2019-09-28,day,,,Berkeley,high
P::B::J496,withdrawn,2017-07-19,day,,2020-12-31,Berkeley,high
P::B::J497,withdrawn,2016-11-17,day,,2020-12-31,Berkeley,high
P::B::J498,operational,2017-01-31,day,,,Berkeley,high
P::B::J499,operational,2016-03-01,day,,,Berkeley,high
P::B::J500,operational,2017-09-30,day,,,Berkeley,high
P::B::J501,withdrawn,2017-09-01,day,,2020-12-31,Berkeley,high
P::B::J503,operational,2019-11-15,day,,,Berkeley,high
P::B::J504,operational,2024-03-31,day,2025-12-31,,Berkeley,high
P::B::J505,operational,2021-01-28,day,,,Berkeley,high
P::B::J506,operational,2019-09-16,day,,,Berkeley,high
P::B::J507,withdrawn,2017-06-16,day,,2020-12-31,Berkeley,high
P::B::J509,withdrawn,2015-12-30,day,,2020-12-31,Berkeley,high
P::B::J510,operational,2018-09-30,day,,,Berkeley,high
P::B::J511,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J512,operational,2020-06-30,day,,,Berkeley,high
P::B::J513,operational,2020-08-15,day,,,Berkeley,high
P::B::J514,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J515,operational,2019-04-01,day,,,Berkeley,high
P::B::J516,withdrawn,2017-05-16,day,,2020-12-31,Berkeley,high
P::B::J517,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J518,withdrawn,2017-03-01,day,,2020-12-31,Berkeley,high
P::B::J519,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J520,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J521,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J523,operational,2024-12-13,day,2025-12-31,,Berkeley,high
P::B::J524,operational,2022-07-29,day,2025-12-31,,Berkeley,high
P::B::J525,withdrawn,2018-03-26,day,,2020-12-31,Berkeley,high
P::B::J526,operational,2020-06-29,day,,,Berkeley,high
P::B::J527,operational,2020-10-01,day,,,Berkeley,high
P::B::J528,withdrawn,2020-01-29,day,,2020-12-31,Berkeley,high
P::B::J529,operational,2018-07-01,day,,,Berkeley,high
P::B::J530,operational,2020-10-01,day,,,Berkeley,high
P::B::J531,withdrawn,2017-09-01,day,,2020-12-31,Berkeley,high
P::B::J532,withdrawn,2016-02-17,day,,2020-12-31,Berkeley,high
P::B::J533,operational,2019-10-01,day,,,Berkeley,high
P::B::J534,operational,2020-04-01,day,,,Berkeley,high
P::B::J535,operational,2020-04-01,day,,,Berkeley,high
P::B::J536,withdrawn,2017-02-21,day,,2020-12-31,Berkeley,high
P::B::J537,withdrawn,2017-07-27,day,,2020-12-31,Berkeley,high
P::B::J538,operational,2020-10-01,day,,,Berkeley,high
P::B::J539,withdrawn,2017-02-21,day,,2020-12-31,Berkeley,high
P::B::J540,operational,2021-12-31,observation,,,Berkeley,medium
P::B::J541,operational,2020-04-01,day,,,Berkeley,high
P::B::J542,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J543,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J546,withdrawn,2017-05-03,day,,2020-12-31,Berkeley,high
P::B::J547,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J548,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J549,withdrawn,2017-03-10,day,,2020-12-31,Berkeley,high
P::B::J550,withdrawn,2017-03-10,day,,2020-12-31,Berkeley,high
P::B::J551,withdrawn,2017-03-01,day,,2020-12-31,Berkeley,high
P::B::J552,operational,2024-09-07,day,2025-12-31,,Berkeley,high
P::B::J553,withdrawn,2017-05-16,day,,2020-12-31,Berkeley,high
P::B::J554,operational,2016-10-01,day,,,Berkeley,high
P::B::J555,operational,2017-09-01,day,,,Berkeley,high
P::B::J557,operational,2016-08-31,day,,,Berkeley,high
P::B::J558,operational,2017-09-01,day,,,Berkeley,high
P::B::J559,withdrawn,2017-05-16,day,,2020-12-31,Berkeley,high
P::B::J560,withdrawn,2017-04-25,day,,2020-12-31,Berkeley,high
P::B::J561,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J562,withdrawn,2017-01-24,day,,2020-12-31,Berkeley,high
P::B::J563,withdrawn,2017-01-24,day,,2020-12-31,Berkeley,high
P::B::J564,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J565,withdrawn,2016-09-14,day,,2020-12-31,Berkeley,high
P::B::J566,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J567,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J568,withdrawn,2016-09-14,day,,2020-12-31,Berkeley,high
P::B::J569,operational,2022-12-28,day,2025-12-31,,Berkeley,high
P::B::J571,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J572,withdrawn,2018-10-05,day,,2020-12-31,Berkeley,high
P::B::J573,withdrawn,2017-06-29,day,,2020-12-31,Berkeley,high
P::B::J574,withdrawn,2016-11-21,day,,2020-12-31,Berkeley,high
P::B::J575,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J576,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J577,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J578,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J581,withdrawn,2021-05-27,day,,2021-12-31,Berkeley,high
P::B::J582,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J583,operational,2021-12-31,day,2021-12-31,,Berkeley,high
P::B::J585,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J586,operational,2024-04-30,day,2025-12-31,,Berkeley,high
P::B::J587,operational,2020-09-14,day,,,Berkeley,high
P::B::J588,withdrawn,2017-05-16,day,,2020-12-31,Berkeley,high
P::B::J589,operational,2018-12-10,day,,,Berkeley,high
P::B::J590,operational,2019-10-01,day,,,Berkeley,high
P::B::J591,operational,2021-12-31,observation,,,Berkeley,medium
P::B::J592,withdrawn,2017-07-17,day,,2020-12-31,Berkeley,high
P::B::J593,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J594,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J595,withdrawn,2017-06-29,day,,2020-12-31,Berkeley,high
P::B::J596,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J597,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J598,withdrawn,2020-01-16,day,,2020-12-31,Berkeley,high
P::B::J599,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J600,withdrawn,2017-06-08,day,,2020-12-31,Berkeley,high
P::B::J601,withdrawn,2018-01-16,day,,2020-12-31,Berkeley,high
P::B::J602,withdrawn,2020-03-09,day,,2020-12-31,Berkeley,high
P::B::J603,operational,2024-09-27,day,2025-12-31,,Berkeley,high
P::B::J604,operational,2022-09-21,day,2025-12-31,,Berkeley,high
P::B::J605,withdrawn,2017-06-08,day,,2020-12-31,Berkeley,high
P::B::J606,withdrawn,2017-03-24,day,,2020-12-31,Berkeley,high
P::B::J607,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J608,withdrawn,2018-01-16,day,,2020-12-31,Berkeley,high
P::B::J609,withdrawn,2017-08-18,day,,2020-12-31,Berkeley,high
P::B::J610,withdrawn,2017-06-08,day,,2020-12-31,Berkeley,high
P::B::J611,operational,2020-10-01,day,,,Berkeley,high
P::B::J612,withdrawn,2017-06-08,day,,2020-12-31,Berkeley,high
P::B::J613,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J614,operational,2018-12-17,day,,,Berkeley,high
P::B::J615,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J616,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J617,withdrawn,2016-12-27,day,,2020-12-31,Berkeley,high
P::B::J618,withdrawn,2017-05-03,day,,2020-12-31,Berkeley,high
P::B::J619,withdrawn,2019-01-18,day,,2020-12-31,Berkeley,high
P::B::J620,operational,2019-12-19,day,,,Berkeley,high
P::B::J621,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J622,withdrawn,2017-05-16,day,,2020-12-31,Berkeley,high
P::B::J623,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J624,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J626,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J627,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J629,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J630,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J631,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J633,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J634,withdrawn,2018-08-07,day,,2020-12-31,Berkeley,high
P::B::J637,withdrawn,2019-01-14,day,,2020-12-31,Berkeley,high
P::B::J638,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J641,operational,2024-11-18,day,2025-12-31,,Berkeley,high
P::B::J642,withdrawn,2017-06-29,day,,2020-12-31,Berkeley,high
P::B::J643,operational,2023-06-24,day,2025-12-31,,Berkeley,high
P::B::J644,operational,2024-11-06,day,2025-12-31,,Berkeley,high
P::B::J645,withdrawn,2017-05-03,day,,2020-12-31,Berkeley,high
P::B::J648,withdrawn,2019-01-22,day,,2020-12-31,Berkeley,high
P::B::J649,withdrawn,2017-01-31,day,,2020-12-31,Berkeley,high
P::B::J650,withdrawn,2017-01-24,day,,2020-12-31,Berkeley,high
P::B::J651,withdrawn,2017-01-24,day,,2020-12-31,Berkeley,high
P::B::J652,operational,2017-09-15,day,,,Berkeley,high
P::B::J653,withdrawn,2017-06-12,day,,2020-12-31,Berkeley,high
P::B::J654,withdrawn,2016-12-27,day,,2020-12-31,Berkeley,high
P::B::J655,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J656,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J660,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J661,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J664,withdrawn,2016-10-27,day,,2020-12-31,Berkeley,high
P::B::J665,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J666,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J667,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J668,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J669,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J670,withdrawn,2017-06-21,day,,2020-12-31,Berkeley,high
